,date,hour,holiday,weekday,count
293,2018-01-13,8,No,Saturday,139
294,2018-01-13,9,No,Saturday,215
295,2018-01-13,10,No,Saturday,233
296,2018-01-13,11,No,Saturday,324
297,2018-01-13,12,No,Saturday,304
298,2018-01-13,13,No,Saturday,333
299,2018-01-13,14,No,Saturday,368
300,2018-01-13,15,No,Saturday,299
301,2018-01-13,16,No,Saturday,268
302,2018-01-13,17,No,Saturday,204
303,2018-01-13,18,No,Saturday,138
304,2018-01-13,19,No,Saturday,106
305,2018-01-13,20,No,Saturday,97
306,2018-01-13,21,No,Saturday,67
307,2018-01-13,22,No,Saturday,42
308,2018-01-13,23,No,Saturday,41
309,2018-01-14,0,No,Sunday,33
310,2018-01-14,1,No,Sunday,27
311,2018-01-14,2,No,Sunday,8
312,2018-01-14,3,No,Sunday,8
313,2018-01-14,4,No,Sunday,5
314,2018-01-14,5,No,Sunday,3
315,2018-01-14,6,No,Sunday,12
316,2018-01-14,7,No,Sunday,32
317,2018-01-14,8,No,Sunday,51
318,2018-01-14,9,No,Sunday,96
319,2018-01-14,10,No,Sunday,166
320,2018-01-14,11,No,Sunday,229
321,2018-01-14,12,No,Sunday,237
322,2018-01-14,13,No,Sunday,224
323,2018-01-14,14,No,Sunday,209
324,2018-01-14,15,No,Sunday,251
325,2018-01-14,16,No,Sunday,198
326,2018-01-14,17,No,Sunday,157
327,2018-01-14,18,No,Sunday,134
328,2018-01-14,19,No,Sunday,75
329,2018-01-14,20,No,Sunday,60
330,2018-01-14,21,No,Sunday,57
331,2018-01-14,22,No,Sunday,43
332,2018-01-14,23,No,Sunday,25
333,2018-01-15,0,No,Monday,20
334,2018-01-15,1,No,Monday,17
335,2018-01-15,2,No,Monday,8
336,2018-01-15,3,No,Monday,4
337,2018-01-15,4,No,Monday,13
338,2018-01-15,5,No,Monday,17
339,2018-01-15,6,No,Monday,27
340,2018-01-15,7,No,Monday,75
341,2018-01-15,8,No,Monday,159
342,2018-01-15,9,No,Monday,169
343,2018-01-15,10,No,Monday,195
344,2018-01-15,11,No,Monday,241
345,2018-01-15,12,No,Monday,244
346,2018-01-15,13,No,Monday,261
347,2018-01-15,14,No,Monday,253
348,2018-01-15,15,No,Monday,278
349,2018-01-15,16,No,Monday,292
350,2018-01-15,17,No,Monday,339
351,2018-01-15,18,No,Monday,256
352,2018-01-15,19,No,Monday,170
353,2018-01-15,20,No,Monday,105
354,2018-01-15,21,No,Monday,93
355,2018-01-15,22,No,Monday,55
356,2018-01-15,23,No,Monday,32
357,2018-01-16,0,No,Tuesday,8
358,2018-01-16,1,No,Tuesday,7
359,2018-01-16,2,No,Tuesday,6
360,2018-01-16,3,No,Tuesday,2
361,2018-01-16,4,No,Tuesday,13
362,2018-01-16,5,No,Tuesday,72
363,2018-01-16,6,No,Tuesday,216
364,2018-01-16,7,No,Tuesday,527
365,2018-01-16,8,No,Tuesday,999
366,2018-01-16,9,No,Tuesday,476
367,2018-01-16,10,No,Tuesday,181
368,2018-01-16,11,No,Tuesday,225
369,2018-01-16,12,No,Tuesday,245
370,2018-01-16,13,No,Tuesday,205
371,2018-01-16,14,No,Tuesday,209
372,2018-01-16,15,No,Tuesday,331
373,2018-01-16,16,No,Tuesday,486
374,2018-01-16,17,No,Tuesday,910
375,2018-01-16,18,No,Tuesday,737
376,2018-01-16,19,No,Tuesday,400
